name,model_id,prompt,actual_kv_memory_mb,working_set_memory_mb,size_ratio,compression_factor,prefill_ms,decode_ms,total_ms,tokens_per_sec,generated_tokens,logit_cosine,kl_divergence,top1_match,top5_overlap,top10_overlap,max_logit_delta,first_divergent_token,passed_quality_gate,notes,error
mlx_lm_baseline,Qwen/Qwen2.5-0.5B-Instruct,Hello,,946.5410528182983,,,,,874.9820420016476,56.00114933548285,49,1.0,0.0,1.0,1.0,1.0,0.0,,True,FP16 baseline — no compression applied,
mlx_lm_quantized_kv_b8,Qwen/Qwen2.5-0.5B-Instruct,Hello,,946.326865196228,,,,,749.3817920003494,65.38723054533084,49,,,0.15555555555555556,,,,6,True,MLX-LM built-in 8-bit KV quantization  [text drift word_match=0.156 — PENDING full logit gate; run MLX gate for confirmation],
rfsn_v10_k8_v5_gs32,Qwen/Qwen2.5-0.5B-Instruct,Hello,,946.8331861495972,,,,,611.4480830001412,83.40855326549159,51,,,1.0,,,,,True,RFSN v10 stable baseline — config=k8_v5_gs32 bits=8 gs=32  [text match PASS — confirm with MLX logit gate],
rfsn_v10_k8_v5_gs64,Qwen/Qwen2.5-0.5B-Instruct,Hello,,946.8332166671753,,,,,586.6744999984803,86.9306574601966,51,,,1.0,,,,,True,RFSN v10 stable baseline — config=k8_v5_gs64 bits=8 gs=64  [text match PASS — confirm with MLX logit gate],
rfsn_v11_k8v4_gs64_wht,Qwen/Qwen2.5-0.5B-Instruct,Hello,,947.0770483016968,0.3984,2.51,,,709.5457079994958,69.05827129608234,49,0.99998,,0.15555555555555556,,,,6,True,RFSN v11 fusion k8v4 gs64 wht=True  KV cosine=1.0000  size_ratio=0.398 (2.51x smaller)  Generation via mlx_lm kv_bits (direct cache injection pending)  [text drift word_match=0.156 — PENDING full logit gate; run MLX gate for confirmation],
turboquant_v2_b4_gs64_rot,Qwen/Qwen2.5-0.5B-Instruct,Hello,,946.6036901473999,,,,,451.18166700194706,108.60370352722808,49,,,1.0,,,,,True,TurboQuant V2: b4 gs64 rotation=True  Ideas from external/turboquant-mlx/turboquant/cache_v2.py  [text match PASS — confirm with MLX logit gate],
polar_reference_b4_d128,Qwen/Qwen2.5-0.5B-Instruct,Hello,,946.5411901473999,,,,,456.061791999673,107.44158107424867,49,,,1.0,,,,,True,PolarQuant reference: b4 d128  EXPERIMENTAL — expected slower — reference only.  Ideas: external/mlx-turboquant/mlx_turboquant/polar_quant.py  [text match PASS — confirm with MLX logit gate],
mlx_lm_baseline,Qwen/Qwen2.5-0.5B-Instruct,Write a Python function that adds two numbers.,,997.1588497161865,,,,,466.63887500108103,87.86237537518711,41,1.0,0.0,1.0,1.0,1.0,0.0,,True,FP16 baseline — no compression applied,
mlx_lm_quantized_kv_b8,Qwen/Qwen2.5-0.5B-Instruct,Write a Python function that adds two numbers.,,997.1588954925537,,,,,623.515082999802,65.75622806547732,41,,,0.7567567567567568,,,,28,True,MLX-LM built-in 8-bit KV quantization  [text drift word_match=0.757 — PENDING full logit gate; run MLX gate for confirmation],
rfsn_v10_k8_v5_gs32,Qwen/Qwen2.5-0.5B-Instruct,Write a Python function that adds two numbers.,,994.2684841156006,,,,,492.0696249973844,103.64386950377417,51,,,1.0,,,,,True,RFSN v10 stable baseline — config=k8_v5_gs32 bits=8 gs=32  [text match PASS — confirm with MLX logit gate],
rfsn_v10_k8_v5_gs64,Qwen/Qwen2.5-0.5B-Instruct,Write a Python function that adds two numbers.,,993.6523113250732,,,,,474.275790998945,107.53237033790208,51,,,1.0,,,,,True,RFSN v10 stable baseline — config=k8_v5_gs64 bits=8 gs=64  [text match PASS — confirm with MLX logit gate],
rfsn_v11_k8v4_gs64_wht,Qwen/Qwen2.5-0.5B-Instruct,Write a Python function that adds two numbers.,,994.7741460800171,0.3984,2.51,,,812.9066670007887,50.43629442881691,41,0.99998,,0.7567567567567568,,,,28,True,RFSN v11 fusion k8v4 gs64 wht=True  KV cosine=1.0000  size_ratio=0.398 (2.51x smaller)  Generation via mlx_lm kv_bits (direct cache injection pending)  [text drift word_match=0.757 — PENDING full logit gate; run MLX gate for confirmation],
turboquant_v2_b4_gs64_rot,Qwen/Qwen2.5-0.5B-Instruct,Write a Python function that adds two numbers.,,993.7138175964355,,,,,434.72708399713156,94.31204428999995,41,,,1.0,,,,,True,TurboQuant V2: b4 gs64 rotation=True  Ideas from external/turboquant-mlx/turboquant/cache_v2.py  [text match PASS — confirm with MLX logit gate],
polar_reference_b4_d128,Qwen/Qwen2.5-0.5B-Instruct,Write a Python function that adds two numbers.,,997.1588840484619,,,,,481.94183300074656,85.07250707978382,41,,,1.0,,,,,True,PolarQuant reference: b4 d128  EXPERIMENTAL — expected slower — reference only.  Ideas: external/mlx-turboquant/mlx_turboquant/polar_quant.py  [text match PASS — confirm with MLX logit gate],
